1, 10, 30, 20, 100, 4.87152, +0.00062215824841248048, 0.0181245, 15.0123, +0.00341739165011026076, 0.0149178, 3, 7, 2
2, 10, 30, 20, 100, 4.83233, +0.00174129066683342446, 0.0182395, 15.0739, +0.00416311974130469061, 0.0113464, 4, 14, 2
3, 10, 30, 20, 100, 4.75344, +0.00075164173374324808, 0.00812348, 14.4728, +0.00364834040629032056, 0.00660677, 3, 9, 2
4, 10, 30, 20, 100, 4.69701, +0.00124318256111199559, 0.0122449, 14.6145, +0.00522998006969236516, 0.00780031, 3, 8, 2
5, 10, 30, 20, 100, 4.70634, +0.00034360816393472313, 0.0106122, 14.4783, +0.00309821052536229312, 0.00788229, 3, 8, 2
6, 10, 30, 20, 100, 4.67606, +0.00056841534802609535, 0.0203915, 14.624, +0.00498064368657634116, 0.00727084, 4, 9, 2
7, 10, 30, 20, 100, 4.86547, +0.00133839700661039683, 0.0157978, 15.2998, +0.00648790700368956137, 0.0128395, 4, 12, 2
8, 10, 30, 20, 100, 4.79073, +0.00077274254281690396, 0.0168, 14.8982, +0.00285474277296799503, 0.0120051, 3, 6, 2
9, 10, 30, 20, 100, 4.6862, +0.00117083431340451866, 0.0138889, 14.56, +0.00415266572952899697, 0.00762155, 4, 8, 2
10, 10, 30, 20, 100, 4.63284, +0.00091664805152710595, 0.0132122, 14.3897, +0.00295352211796610728, 0.00850611, 3, 6, 2
11, 10, 30, 20, 100, 4.7485, +0.00050764491972375513, 0.0105348, 14.6596, +0.00419357964795303841, 0.00936768, 4, 10, 2
12, 10, 30, 20, 100, 4.79164, +0.00134350545490453322, 0.0168, 14.9111, +0.00395003169652556272, 0.00895599, 4, 8, 2
13, 10, 30, 20, 100, 4.70124, +0.00056613965706097032, 0.00981997, 14.6582, +0.00434133958095965309, 0.00416341, 3, 7, 2
14, 10, 30, 20, 100, 4.68895, +0.00033112542583739485, 0.0290089, 14.8166, +0.00559523370503316592, 0.00948475, 4, 10, 2
